,artwork,emo1,emo2,emo3,vad1,vad2,vad3,final_emo,final_vad
10,aaron-siskind_new-york-40-1986.jpg,['contentment'],['disgust'],"['sadness', 'disgust']","[0.8, 0.1, 0.1]","[0.4, 0.2, 0.2]","[0.4, 0.3, 0.3]",disgust,"[0.4, 0.25, 0.25]"
11,aaron-siskind_new-york-city-w-1-1947.jpg,['contentment'],['disgust'],['fear'],"[0.8, 0.1, 0.1]","[0.4, 0.0, 0.0]","[0.2, 0.8, 0.4]",fear,"[0.2, 0.7, 0.45]"
12,aaron-siskind_per-400-1983.jpg,['anger'],['anger'],"['excitement', 'fear']","[0.2, 0.4, 0.4]","[0.2, 0.1, 0.1]","[0.55, 0.8, 0.7]",anger,"[0.2, 0.25, 0.25]"
13,aaron-siskind_pleasures-and-terrors-of-levitation-25-1957.jpg,['awe'],['excitement'],"['awe', 'sadness']","[0.9, 0.7, 0.6]","[0.5, 0.3, 0.1]","[0.4, 0.2, 0.8]",awe,"[0.65, 0.44999999999999996, 0.7]"
14,aaron-siskind_providence-92-1986.jpg,['contentment'],['awe'],['contentment'],"[0.8, 0.1, 0.2]","[0.4, 0.2, 0.1]","[0.8, 0.1, 0.2]",contentment,"[0.8, 0.1, 0.2]"
15,aaron-siskind_recife-olinda-8-1968.jpg,['contentment'],['fear'],"['anger', 'sadness', 'disgust', 'fear']","[0.8, 0.1, 0.2]","[0.1, 0.3, 0.4]","[0.0, 0.9, 0.9]",fear,"[0.05, 0.6, 0.65]"
16,aaron-siskind_rome-arch-of-constantine-10-1963.jpg,['fear'],['fear'],"['sadness', 'disgust', 'fear']","[0.4, 0.2, 0.2]","[0.2, 0.2, 0.1]","[0.1, 0.3, 0.7]",fear,"[0.23333333333333336, 0.2333333333333333, 0.3333333333333333]"
17,aaron-siskind_the-tree-35-1973.jpg,['awe'],['fear'],"['sadness', 'disgust', 'fear']","[0.8, 0.3, 0.3]","[0.3, 0.3, 0.3]","[0.3, 0.7, 0.8]",fear,"[0.3, 0.5, 0.55]"
18,aaron-siskind_uruapan-11-1955.jpg,['sadness'],['disgust'],['sadness'],"[0.2, 0.6, 0.3]","[0.3, 0.2, 0.1]","[0.125, 0.2, 0.3]",sadness,"[0.1625, 0.4, 0.3]"
19,aaron-siskind_utah-84-1976.jpg,['awe'],['excitement'],"['awe', 'disgust']","[0.5, 0.6, 0.3]","[0.5, 0.4, 0.3]","[0.07, 0.2, 0.6]",awe,"[0.28500000000000003, 0.4, 0.44999999999999996]"
20,aaron-siskind_vera-cruz-96-1973.jpg,['anger'],['disgust'],['sadness'],"[0.6, 0.3, 0.3]","[0.3, 0.1, 0.1]","[0.25, 0.35, 0.3]",sadness,"[0.225, 0.32499999999999996, 0.3]"
21,aaron-siskind_westport-10-1988.jpg,['amusement'],['awe'],"['excitement', 'contentment']","[0.6, 0.6, 0.4]","[0.4, 0.1, 0.1]","[0.8, 0.7, 0.8]",awe,"[0.5, 0.2, 0.2]"
22,aaron-siskind_yuchitan-1-1955.jpg,['anger'],['fear'],"['excitement', 'fear']","[0.3, 0.5, 0.4]","[0.2, 0.1, 0]","[0.3, 0.7, 0.7]",fear,"[0.25, 0.39999999999999997, 0.35]"
23,abidin-dino_abstract-composition.jpg,['awe'],['awe'],"['contentment', 'awe']","[0.9, 0.7, 0.3]","[0.6, 0.4, 0.2]","[0.7, 0.1, 0.2]",awe,"[0.7333333333333334, 0.4000000000000001, 0.2333333333333333]"
24,abidin-dino_antibes-1961-1.jpg,['sadness'],['awe'],"['sadness', 'fear']","[0.3, 0.4, 0.4]","[0.5, 0.2, 0.1]","[0.15, 0.7, 0.3]",sadness,"[0.22499999999999998, 0.55, 0.35]"
25,abidin-dino_antibes-1961.jpg,['awe'],['sadness'],"['sadness', 'fear']","[0.7, 0.5, 0.5]","[0.4, 0.3, 0.2]","[0.2, 0.6, 0.3]",sadness,"[0.30000000000000004, 0.44999999999999996, 0.25]"
26,abidin-dino_saman-sar-s-illustration.jpg,['excitement'],['excitement'],"['excitement', 'amusement', 'contentment']","[1.0, 0.8, 0.6]","[0.6, 0.3, 0.3]","[0.8, 0.8, 0.9]",excitement,"[0.8000000000000002, 0.6333333333333334, 0.6]"
27,abidin-dino_unknown-title-2.jpg,['awe'],['awe'],['contentment'],"[0.3, 0.3, 0.2]","[0.5, 0.1, 0.1]","[0.7, 0.3, 0.3]",awe,"[0.4, 0.2, 0.15000000000000002]"
28,abidin-dino_unknown-title-8.jpg,['sadness'],['awe'],['contentment'],"[0.2, 0.7, 0.6]","[0.5, 0.1, 0.2]","[0.7, 0.2, 0.2]",awe,"[0.5, 0.1, 0.2]"
29,ad-reinhardt_number-107-1950.jpg,['contentment'],['awe'],['sadness'],"[0.8, 0.1, 0.2]","[0.6, 0.1, 0.1]","[0.2, 0.8, 0.9]",contentment,"[0.8, 0.1, 0.2]"
30,ad-reinhardt_number-22-1949.jpg,['sadness'],['contentment'],"['sadness', 'disgust']","[0.2, 0.1, 0.1]","[0.6, 0.2, 0.2]","[0.3, 0.7, 0.8]",sadness,"[0.25, 0.39999999999999997, 0.45]"
31,ad-reinhardt_number-43-abstract-painting-yellow-1947.jpg,['disgust'],['contentment'],"['anger', 'disgust', 'fear']","[0.2, 0.8, 0.8]","[0.6, 0.4, 0.2]","[0.3, 0.6, 0.4]",disgust,"[0.25, 0.7, 0.6000000000000001]"
32,ad-reinhardt_number-6-1946.jpg,['amusement'],['excitement'],"['excitement', 'amusement', 'contentment']","[0.3, 0.3, 0.2]","[0.6, 0.3, 0.1]","[0.7, 0.8, 0.8]",amusement,"[0.5, 0.55, 0.5]"
33,ad-reinhardt_yellow-painting-1949.jpg,['excitement'],['amusement'],"['excitement', 'sadness']","[0.9, 0.8, 0.5]","[0.7, 0.3, 0.2]","[0.5, 0.7, 0.7]",amusement,"[0.7, 0.3, 0.2]"
34,adnan-coker_unknown-title(10).jpg,['sadness'],['amusement'],"['awe', 'sadness']","[0.2, 0.4, 0.4]","[0.6, 0.2, 0.2]","[0.3, 0.6, 0.2]",amusement,"[0.6499999999999999, 0.5, 0.44999999999999996]"
35,adnan-coker_unknown-title(3).jpg,['sadness'],['excitement'],"['sadness', 'fear']","[0.1, 0.3, 0.3]","[0.6, 0.2, 0.2]","[0.1, 0.6, 0.3]",sadness,"[0.1, 0.44999999999999996, 0.3]"
36,adnan-coker_untitled-1968.jpg,['fear'],['sadness'],['disgust'],"[0.1, 0.2, 0.4]","[0.3, 0.2, 0.2]","[0.1, 0.5, 0.4]",fear,"[0.1, 0.5, 0.5]"
37,aki-kuroda_conti-nuit-1979.jpg,['disgust'],['fear'],"['excitement', 'amusement', 'contentment']","[0.3, 0.3, 0.3]","[0.5, 0.2, 0.2]","[0.7, 0.6, 0.6]",excitement,"[0.7, 0.6499999999999999, 0.6]"
38,aki-kuroda_cosmogarden-2011.jpg,['amusement'],['amusement'],['contentment'],"[0.3, 0.5, 0.1]","[0.6, 0.3, 0.3]","[0.7, 0.4, 0.5]",amusement,"[0.44999999999999996, 0.4, 0.2]"
39,aki-kuroda_first-night-i-1979.jpg,['contentment'],['amusement'],"['excitement', 'amusement']","[0.7, 0.5, 0.5]","[0.6, 0.3, 0.2]","[0.65, 0.55, 0.3]",amusement,"[0.625, 0.42500000000000004, 0.25]"
40,aki-kuroda_midnight-spaghetti-2010.jpg,['anger'],['amusement'],"['excitement', 'amusement', 'contentment']","[0.1, 0.7, 0.7]","[0.5, 0.3, 0.1]","[0.8, 0.8, 0.8]",excitement,"[0.55, 0.8500000000000001, 0.8500000000000001]"
41,aki-kuroda_untitled-1987.jpg,['anger'],['disgust'],"['amusement', 'fear']","[0.3, 0.6, 0.2]","[0.4, 0.4, 0.3]","[0.4, 0.8, 0.5]",anger,"[0.25, 0.6, 0.2]"
42,aki-kuroda_untitled-1988-1.jpg,['sadness'],['anger'],"['disgust', 'fear']","[0.1, 0.7, 0.6]","[0.3, 0.2, 0.3]","[0.1, 0.9, 0.8]",sadness,"[0.2, 0.7, 0.6499999999999999]"
43,aki-kuroda_untitled-1988.jpg,['excitement'],['excitement'],"['sadness', 'disgust']","[1.0, 1.0, 0.8]","[0.6, 0.2, 0.2]","[0.4, 0.5, 0.3]",excitement,"[0.8, 0.6, 0.5]"
44,aki-kuroda_untitled-1998-1.jpg,['sadness'],['excitement'],"['excitement', 'anger', 'disgust']","[0.3, 0.9, 0.9]","[0.6, 0.3, 0.2]","[0.5, 0.9, 0.9]",excitement,"[0.55, 0.6, 0.55]"
45,aki-kuroda_untitled-1998.jpg,['sadness'],['sadness'],['contentment'],"[0.5, 0.6, 0.6]","[0.5, 0.1, 0.2]","[0.6, 0.2, 0.1]",sadness,"[0.5, 0.35, 0.4]"
46,aki-kuroda_untitled-2006.jpg,['contentment'],['excitement'],"['disgust', 'fear']","[0.5, 0.7, 0.5]","[0.6, 0.3, 0.1]","[0.3, 0.2, 0.2]",excitement,"[0.6499999999999999, 0.5, 0.35]"
47,aki-kuroda_untitled-2008-1.jpg,['amusement'],['amusement'],"['excitement', 'amusement']","[0.7, 0.6, 0.6]","[0.6, 0.3, 0.2]","[0.7, 0.8, 0.8]",amusement,"[0.6666666666666666, 0.5666666666666667, 0.5333333333333333]"
48,aki-kuroda_untitled-2012-1.jpg,['sadness'],['contentment'],['contentment'],"[0.4, 0.3, 0.4]","[0.5, 0.1, 0.2]","[0.6, 0.2, 0.1]",contentment,"[0.55, 0.15000000000000002, 0.15000000000000002]"
49,aki-kuroda_untitled-5-1982.jpg,['sadness'],['anger'],"['disgust', 'fear']","[0.3, 0.3, 0.2]","[0.3, 0.3, 0.1]","[0.2, 0.56, 0.2]",sadness,"[0.35, 0.4, 0.35]"
50,al-held_taxi-cab-ii-1959.jpg,['anger'],['amusement'],"['excitement', 'amusement']","[0.4, 0.6, 0.6]","[0.6, 0.3, 0.1]","[0.8, 0.6, 0.6]",amusement,"[0.7333333333333334, 0.5333333333333333, 0.3666666666666667]"
51,al-held_untitled-1954.jpg,['fear'],['contentment'],"['contentment', 'sadness']","[0.2, 0.6, 0.7]","[0.5, 0.2, 0.1]","[0.6, 0.2, 0.1]",contentment,"[0.55, 0.2, 0.1]"
52,al-held_untitled-1955.jpg,['fear'],['contentment'],"['contentment', 'sadness']","[0.2, 0.7, 0.8]","[0.5, 0.2, 0.1]","[0.6, 0.2, 0.1]",contentment,"[0.55, 0.2, 0.1]"
53,alexander-calder_la-grande-vitesse-1969.jpg,['awe'],['excitement'],"['excitement', 'amusement', 'contentment']","[0.7, 0.8, 0.6]","[0.7, 0.4, 0.3]","[0.9, 0.5, 0.3]",excitement,"[0.8, 0.45, 0.3]"
54,alexander-calder_man-1967.jpg,['awe'],['contentment'],"['excitement', 'amusement', 'contentment']","[0.8, 0.8, 0.5]","[0.6, 0.4, 0.3]","[0.8, 0.6, 0.3]",contentment,"[0.7, 0.5, 0.3]"
55,alexander-calder_maquette-for-flamingo-1972.jpg,['anger'],['anger'],"['anger', 'disgust']","[0.4, 0.5, 0.4]","[0.5, 0.3, 0.3]","[0.2, 0.3, 0.2]",anger,"[0.3666666666666667, 0.3666666666666667, 0.3]"
56,alexander-calder_the-dog.jpg,['amusement'],['excitement'],"['excitement', 'amusement', 'contentment']","[0.9, 0.7, 0.3]","[0.7, 0.5, 0.4]","[0.8, 0.5, 0.2]",amusement,"[0.8500000000000001, 0.6, 0.25]"
57,alexander-calder_the-x-and-its-tails-1967.jpg,['amusement'],['excitement'],['disgust'],"[0.7, 0.7, 0.6]","[0.7, 0.5, 0.3]","[0.4, 0.2, 0.4]",excitement,"[0.7, 0.5, 0.3]"
58,alexander-calder_three-bollards-1970.jpg,['disgust'],['amusement'],['contentment'],"[0.3, 0.3, 0.2]","[0.6, 0.3, 0.3]","[0.5, 0.3, 0.1]",amusement,"[0.6, 0.3, 0.3]"
59,alexander-calder_two-discs-1965.jpg,['disgust'],['excitement'],"['excitement', 'amusement']","[0.3, 0.7, 0.7]","[0.6, 0.4, 0.3]","[0.8, 0.7, 0.6]",amusement,"[0.65, 0.55, 0.5]"
60,alexander-liberman_erg-series-1977.jpg,['anger'],['excitement'],"['excitement', 'amusement', 'contentment']","[0.3, 0.5, 0.6]","[0.6, 0.2, 0.2]","[0.7, 0.6, 0.4]",excitement,"[0.6666666666666666, 0.4000000000000001, 0.3]"
61,alexander-liberman_gate-of-hope-1972.jpg,['amusement'],['awe'],"['amusement', 'contentment']","[0.8, 0.6, 0.6]","[0.2, 0.1, 0.1]","[0.8, 0.4, 0.2]",amusement,"[0.8, 0.5, 0.4]"
62,alexander-liberman_stargazer-1983.jpg,['amusement'],['amusement'],"['excitement', 'contentment']","[0.8, 0.8, 0.5]","[0.5, 0.2, 0.1]","[0.8, 0.3, 0.2]",amusement,"[0.65, 0.5, 0.3]"
63,alexander-liberman_untitled-abstract-1975.jpg,['amusement'],['excitement'],"['excitement', 'amusement']","[0.8, 1.0, 1.0]","[0.6, 0.3, 0.2]","[0.9, 0.8, 0.7]",amusement,"[0.8500000000000001, 0.9, 0.85]"
64,alexander-liberman_untitled-abstract-1977.jpg,['amusement'],['amusement'],"['excitement', 'amusement', 'disgust']","[1.0, 1.0, 1.0]","[0.1, 0.3, 0.2]","[0.6, 0.7, 0.6]",amusement,"[0.6, 0.675, 0.6]"
65,alfred-jensen_untitled-1961.jpg,['contentment'],['contentment'],"['amusement', 'contentment']","[0.8, 1.0, 1.0]","[0.5, 0.1, 0.1]","[0.7, 0.2, 0.2]",contentment,"[0.6666666666666666, 0.43333333333333335, 0.43333333333333335]"
66,alice-baber_abstract-composition-1969-1.jpg,['amusement'],['amusement'],"['amusement', 'contentment']","[1.0, 0.8, 0.9]","[0.6, 0.3, 0.2]","[1.0, 0.4, 0.3]",amusement,"[0.8666666666666667, 0.5, 0.46666666666666673]"
67,alice-baber_abstract-composition-1969.jpg,['excitement'],['excitement'],"['excitement', 'sadness', 'disgust']","[1.0, 0.8, 0.9]","[0.5, 0.2, 0.1]","[0.7, 0.7, 0.4]",excitement,"[0.7333333333333334, 0.5666666666666667, 0.4666666666666666]"
68,alice-baber_before-songs-1962.jpg,['sadness'],['contentment'],['sadness'],"[0.4, 0.8, 0.7]","[0.5, 0.1, 0.1]","[0.3, 0.3, 0.5]",sadness,"[0.35, 0.55, 0.6]"
69,alice-baber_golden-center-in-the-ladder-1970.jpg,['awe'],['contentment'],"['excitement', 'sadness']","[0.7, 0.7, 0.5]","[0.5, 0.1, 0.2]","[0.5, 0.4, 0.7]",excitement,"[0.75, 0.7, 0.85]"
70,alice-baber_green-swing.jpg,['sadness'],['excitement'],"['excitement', 'amusement', 'fear']","[0.6, 0.7, 0.7]","[0.6, 0.1, 0.1]","[0.6, 0.3, 0.4]",amusement,"[0.6499999999999999, 0.3, 0.30000000000000004]"
71,alice-baber_lavender-high-1968.jpg,['amusement'],['amusement'],"['excitement', 'amusement', 'contentment', 'anger', 'sadness', 'fear']","[0.8, 0.8, 0.8]","[0.6, 0.3, 0.2]","[0.7, 0.8, 0.7]",amusement,"[0.75, 0.7, 0.625]"
72,alice-baber_lord-of-the-rainbow-1976.jpg,['excitement'],['contentment'],"['amusement', 'contentment']","[1.0, 0.8, 0.7]","[0.6, 0.3, 0.1]","[0.8, 0.2, 0.5]",contentment,"[0.7, 0.25, 0.3]"
73,alice-baber_music-of-the-jaguar-1977.jpg,['contentment'],['amusement'],"['amusement', 'contentment']","[0.9, 0.8, 0.6]","[0.6, 0.2, 0.2]","[0.8, 0.3, 0.5]",contentment,"[0.8500000000000001, 0.55, 0.55]"
74,alice-baber_night-of-the-res-wind-1978.jpg,['contentment'],['sadness'],"['excitement', 'disgust']","[1.0, 0.7, 0.6]","[0.5, 0.2, 0.1]","[0.3, 0.3, 0.4]",contentment,"[0.8, 0.55, 0.55]"
75,alice-baber_noble-numbers-1965.jpg,['sadness'],['amusement'],['amusement'],"[0.7, 0.7, 0.5]","[0.6, 0.1, 0.1]","[0.6, 0.4, 0.5]",amusement,"[0.6, 0.26666666666666666, 0.3]"
76,alice-baber_piper-s-near-1965.jpg,['sadness'],['amusement'],"['excitement', 'amusement', 'contentment']","[0.7, 0.7, 0.6]","[0.5, 0.2, 0.1]","[0.6, 0.3, 0.2]",amusement,"[0.5666666666666668, 0.26666666666666666, 0.13333333333333333]"
77,alice-baber_red-passage-1966.jpg,['sadness'],['amusement'],"['sadness', 'fear']","[0.6, 0.6, 0.6]","[0.6, 0.1, 0.1]","[0.4, 0.3, 0.3]",amusement,"[0.75, 0.39999999999999997, 0.39999999999999997]"
78,alice-baber_red-yellow-and-blue-1960.jpg,['sadness'],['excitement'],"['anger', 'sadness', 'fear']","[0.7, 0.5, 0.5]","[0.5, 0.3, 0.2]","[0.2, 0.3, 0.5]",sadness,"[0.44999999999999996, 0.4, 0.5]"
79,alice-baber_seven-green-leagues-1967.jpg,['contentment'],['contentment'],"['amusement', 'sadness', 'disgust']","[1.0, 1.0, 0.7]","[0.5, 0.2, 0.1]","[0.3, 0.4, 0.3]",contentment,"[0.7666666666666666, 0.7000000000000001, 0.5666666666666668]"
80,alice-baber_the-light-in-the-depths-1975.jpg,['contentment'],['excitement'],"['amusement', 'contentment']","[0.9, 0.9, 0.8]","[0.6, 0.1, 0.1]","[0.7, 0.5, 0.45]",contentment,"[0.8, 0.7, 0.625]"
81,alice-baber_the-way-of-the-wind-1977.jpg,['sadness'],['contentment'],"['sadness', 'disgust', 'fear']","[0.6, 0.6, 0.5]","[0.6, 0.2, 0.1]","[0.3, 0.5, 0.3]",sadness,"[0.44999999999999996, 0.55, 0.4]"
82,alice-baber_through-sleep-to-orange-1968.jpg,['contentment'],['awe'],"['excitement', 'amusement', 'contentment', 'anger', 'sadness']","[0.5, 0.6, 0.5]","[0.6, 0.2, 0.2]","[0.7, 0.9, 0.7]",excitement,"[0.75, 0.9, 0.8]"
83,alice-baber_wheel-of-day-1971.jpg,['sadness'],['excitement'],"['excitement', 'amusement', 'contentment']","[0.6, 0.6, 0.4]","[0.6, 0.2, 0.1]","[0.7, 0.6, 0.4]",excitement,"[0.6999999999999998, 0.5, 0.39999999999999997]"
84,alma-woodsey-thomas_red-abstraction-1960.jpg,['anger'],['contentment'],"['anger', 'sadness', 'disgust', 'fear']","[0.5, 1.0, 0.8]","[0.5, 0.2, 0.1]","[0.2, 0.8, 0.9]",anger,"[0.35, 0.9, 0.8500000000000001]"
85,alma-woodsey-thomas_the-stormy-sea-1958.jpg,['sadness'],['sadness'],"['sadness', 'disgust', 'fear']","[0.6, 0.7, 0.6]","[0.4, 0.2, 0.1]","[0.2, 0.2, 0.1]",sadness,"[0.39999999999999997, 0.36666666666666664, 0.26666666666666666]"
86,alma-woodsey-thomas_untitled-floral-abstraction-1970.jpg,['amusement'],['amusement'],"['amusement', 'contentment']","[1.0, 0.7, 0.6]","[0.6, 0.3, 0.2]","[0.8, 0.3, 0.1]",amusement,"[0.8000000000000002, 0.43333333333333335, 0.3]"
87,andy-warhol_oxidation-painting-1978-1.jpg,['disgust'],['contentment'],"['sadness', 'disgust']","[0.0, 0.0, 0.0]","[0.5, 0.2, 0.1]","[0.3, 0.3, 0.3]",disgust,"[0.15, 0.15, 0.15]"
88,andy-warhol_oxidation-painting-1978.jpg,['disgust'],['disgust'],"['anger', 'sadness', 'disgust']","[0.0, 0.2, 0.5]","[0.4, 0.3, 0.1]","[0.1, 0.5, 0.3]",disgust,"[0.16666666666666666, 0.3333333333333333, 0.3]"
89,andy-warhol_rorschach-1984.jpg,['fear'],['disgust'],['awe'],"[0.3, 0.3, 0.4]","[0.4, 0.3, 0.2]","[0.5, 0.5, 0.4]",fear,"[0.15, 0.6, 0.6000000000000001]"
90,andy-warhol_shadow-1977.jpg,['fear'],['awe'],['sadness'],"[0.1, 0.4, 0.6]","[0.5, 0.2, 0.1]","[0.2, 0.3, 0.4]",fear,"[0.2, 0.35, 0.55]"
91,arshile-gorky_golden-brown-painting-1944.jpg,['fear'],['amusement'],['amusement'],"[0.2, 0.1, 0.5]","[0.7, 0.4, 0.2]","[0.6, 0.4, 0.7]",fear,"[0.2, 0.45, 0.7]"
92,arshile-gorky_hitler-invades-poland.jpg,['anger'],['amusement'],"['excitement', 'disgust']","[0.4, 0.6, 0.7]","[0.5, 0.4, 0.2]","[0.3, 0.8, 0.8]",anger,"[0.35, 0.6, 0.6499999999999999]"
93,arshile-gorky_how-my-mother-s-embroidered-apron-unfolds-in-my-life.jpg,['anger'],['excitement'],"['excitement', 'disgust']","[0.1, 0.1, 0.5]","[0.6, 0.3, 0.2]","[0.3, 0.8, 0.7]",excitement,"[0.44999999999999996, 0.55, 0.44999999999999996]"
94,arshile-gorky_one-year-the-milkweed.jpg,['disgust'],['amusement'],"['anger', 'sadness', 'disgust']","[0.1, 0.6, 0.5]","[0.5, 0.3, 0.2]","[0.3, 0.7, 0.8]",disgust,"[0.20000000000000004, 0.6333333333333333, 0.6333333333333334]"
95,arshile-gorky_soft-night.jpg,['sadness'],['awe'],['sadness'],"[0.1, 0.5, 0.6]","[0.5, 0.2, 0.1]","[0.3, 0.5, 0.3]",sadness,"[0.2, 0.5, 0.44999999999999996]"
96,arshile-gorky_the-leaf-of-the-artichoke-is-an-owl.jpg,['anger'],['sadness'],"['anger', 'sadness', 'disgust']","[0.1, 0.5, 0.5]","[0.4, 0.3, 0.2]","[0.2, 0.4, 0.7]",anger,"[0.15000000000000002, 0.45, 0.6]"
97,arshile-gorky_the-liver-is-the-cock-s-comb.jpg,['disgust'],['excitement'],"['excitement', 'disgust']","[0.1, 0.6, 0.3]","[0.6, 0.2, 0.2]","[0.6, 0.7, 0.6]",disgust,"[0.35, 0.6499999999999999, 0.44999999999999996]"
98,arshile-gorky_untitled-1948.jpg,['disgust'],['excitement'],"['excitement', 'amusement']","[0.1, 0.3, 0.3]","[0.4, 0.2, 0.1]","[0.5, 0.6, 0.5]",excitement,"[0.4666666666666666, 0.4000000000000001, 0.3]"
99,arshile-gorky_water-of-the-flowery-mill.jpg,['fear'],['amusement'],"['disgust', 'fear']","[0.1, 0.7, 0.1]","[0.5, 0.4, 0.2]","[0.2, 0.8, 0.3]",fear,"[0.16666666666666666, 0.7666666666666666, 0.43333333333333335]"
100,arshile-gorky_waterfall.jpg,['sadness'],['amusement'],"['sadness', 'fear']","[0.1, 0.3, 0.3]","[0.5, 0.3, 0.2]","[0.3, 0.2, 0.1]",amusement,"[0.55, 0.35, 0.30000000000000004]"
101,arthur-pinajian_untitled-1960.jpg,['anger'],['anger'],"['excitement', 'contentment']","[0.3, 0.3, 0.3]","[0.5, 0.3, 0.2]","[0.5, 0.5, 0.7]",anger,"[0.4, 0.3, 0.25]"
102,arthur-pinajian_untitled-landscape-bellport-no-0001-1985.jpg,['contentment'],['excitement'],"['amusement', 'contentment']","[0.7, 0.6, 0.5]","[0.7, 0.3, 0.3]","[0.6, 0.3, 0.1]",contentment,"[0.6499999999999999, 0.44999999999999996, 0.3]"
103,arthur-pinajian_untitled-landscape-bellport-no-1042-1991.jpg,['contentment'],['contentment'],['sadness'],"[0.8, 0.8, 0.7]","[0.6, 0.2, 0.1]","[0.2, 0.4, 0.2]",contentment,"[0.7, 0.5, 0.39999999999999997]"
104,arthur-pinajian_untitled-landscape-bellport-no-1137-1984.jpg,['awe'],['amusement'],['awe'],"[0.5, 0.6, 0.5]","[0.6, 0.3, 0.1]","[0.5, 0.5, 0.2]",awe,"[0.5, 0.55, 0.35]"
105,arthur-pinajian_untitled-landscape-bellport-no-1168-1984.jpg,['contentment'],['amusement'],['amusement'],"[0.7, 0.5, 0.6]","[0.6, 0.2, 0.1]","[0.7, 0.6, 0.3]",amusement,"[0.6499999999999999, 0.4, 0.2]"
106,arthur-pinajian_untitled-landscape-bellport-no-224-1989.jpg,['awe'],['amusement'],['contentment'],"[0.7, 0.6, 0.5]","[0.6, 0.2, 0.1]","[0.7, 0.3, 0.2]",contentment,"[0.7, 0.4, 0.30000000000000004]"
107,arthur-pinajian_untitled-landscape-bellport-no-243-1984.jpg,['contentment'],['amusement'],['contentment'],"[0.7, 0.6, 0.6]","[0.5, 0.2, 0.2]","[0.5, 0.3, 0.5]",contentment,"[0.6, 0.44999999999999996, 0.55]"
108,arthur-pinajian_untitled-landscape-bellport-no-256-1990.jpg,['anger'],['excitement'],"['excitement', 'contentment']","[0.1, 0.6, 0.6]","[0.6, 0.2, 0.2]","[0.5, 0.6, 0.7]",excitement,"[0.55, 0.4, 0.44999999999999996]"
109,arthur-pinajian_untitled-landscape-bellport-no-257-1987.jpg,['awe'],['amusement'],"['amusement', 'contentment']","[0.6, 0.7, 0.6]","[0.6, 0.2, 0.1]","[0.8, 0.2, 0.4]",amusement,"[0.7, 0.2, 0.25]"
110,arthur-pinajian_untitled-landscape-bellport-no-347-1982.jpg,['awe'],['excitement'],['amusement'],"[1.0, 1.0, 1.0]","[0.7, 0.3, 0.2]","[0.6, 0.6, 0.5]",amusement,"[0.7, 0.6499999999999999, 0.6]"
111,arthur-pinajian_untitled-landscape-bellport-no-732-1992.jpg,['awe'],['amusement'],"['amusement', 'contentment']","[1.0, 1.0, 1.0]","[0.6, 0.3, 0.2]","[0.8, 0.3, 0.3]",amusement,"[0.7, 0.3, 0.25]"
