artwork,final_emo,final_vad
alexander-calder_la-grande-vitesse-1969.jpg,excitement,"[0.8, 0.45, 0.3]"
alexander-calder_man-1967.jpg,contentment,"[0.7, 0.5, 0.3]"
alexander-calder_maquette-for-flamingo-1972.jpg,anger,"[0.3666666666666667, 0.3666666666666667, 0.3]"
alexander-calder_the-dog.jpg,amusement,"[0.8500000000000001, 0.6, 0.25]"
alexander-calder_the-x-and-its-tails-1967.jpg,excitement,"[0.7, 0.5, 0.3]"
alexander-calder_three-bollards-1970.jpg,amusement,"[0.6, 0.3, 0.3]"
alexander-calder_two-discs-1965.jpg,amusement,"[0.65, 0.55, 0.5]"
alexander-liberman_erg-series-1977.jpg,excitement,"[0.6666666666666666, 0.4000000000000001, 0.3]"
alexander-liberman_gate-of-hope-1972.jpg,amusement,"[0.8, 0.5, 0.4]"
alexander-liberman_stargazer-1983.jpg,amusement,"[0.65, 0.5, 0.3]"
alexander-liberman_untitled-abstract-1975.jpg,amusement,"[0.8500000000000001, 0.9, 0.85]"
alexander-liberman_untitled-abstract-1977.jpg,amusement,"[0.6, 0.675, 0.6]"
alfred-jensen_untitled-1961.jpg,contentment,"[0.6666666666666666, 0.43333333333333335, 0.43333333333333335]"
alice-baber_abstract-composition-1969-1.jpg,amusement,"[0.8666666666666667, 0.5, 0.46666666666666673]"
alice-baber_abstract-composition-1969.jpg,excitement,"[0.7333333333333334, 0.5666666666666667, 0.4666666666666666]"
alice-baber_before-songs-1962.jpg,sadness,"[0.35, 0.55, 0.6]"
alice-baber_golden-center-in-the-ladder-1970.jpg,excitement,"[0.75, 0.7, 0.85]"
alice-baber_green-swing.jpg,amusement,"[0.6499999999999999, 0.3, 0.30000000000000004]"
alice-baber_lavender-high-1968.jpg,amusement,"[0.75, 0.7, 0.625]"
alice-baber_lord-of-the-rainbow-1976.jpg,contentment,"[0.7, 0.25, 0.3]"
alice-baber_music-of-the-jaguar-1977.jpg,contentment,"[0.8500000000000001, 0.55, 0.55]"
alice-baber_night-of-the-res-wind-1978.jpg,contentment,"[0.8, 0.55, 0.55]"
alice-baber_noble-numbers-1965.jpg,amusement,"[0.6, 0.26666666666666666, 0.3]"
alice-baber_piper-s-near-1965.jpg,amusement,"[0.5666666666666668, 0.26666666666666666, 0.13333333333333333]"
alice-baber_red-passage-1966.jpg,amusement,"[0.75, 0.39999999999999997, 0.39999999999999997]"
alice-baber_red-yellow-and-blue-1960.jpg,sadness,"[0.44999999999999996, 0.4, 0.5]"
alice-baber_seven-green-leagues-1967.jpg,contentment,"[0.7666666666666666, 0.7000000000000001, 0.5666666666666668]"
alice-baber_the-light-in-the-depths-1975.jpg,contentment,"[0.8, 0.7, 0.625]"
alice-baber_the-way-of-the-wind-1977.jpg,sadness,"[0.44999999999999996, 0.55, 0.4]"
alice-baber_through-sleep-to-orange-1968.jpg,excitement,"[0.75, 0.9, 0.8]"
alice-baber_wheel-of-day-1971.jpg,excitement,"[0.6999999999999998, 0.5, 0.39999999999999997]"
alma-woodsey-thomas_red-abstraction-1960.jpg,anger,"[0.35, 0.9, 0.8500000000000001]"
alma-woodsey-thomas_the-stormy-sea-1958.jpg,sadness,"[0.39999999999999997, 0.36666666666666664, 0.26666666666666666]"
alma-woodsey-thomas_untitled-floral-abstraction-1970.jpg,amusement,"[0.8000000000000002, 0.43333333333333335, 0.3]"
andy-warhol_oxidation-painting-1978-1.jpg,disgust,"[0.15, 0.15, 0.15]"
andy-warhol_oxidation-painting-1978.jpg,disgust,"[0.16666666666666666, 0.3333333333333333, 0.3]"
andy-warhol_rorschach-1984.jpg,fear,"[0.15, 0.6, 0.6000000000000001]"
andy-warhol_shadow-1977.jpg,fear,"[0.2, 0.35, 0.55]"
arshile-gorky_golden-brown-painting-1944.jpg,fear,"[0.2, 0.45, 0.7]"
arshile-gorky_hitler-invades-poland.jpg,anger,"[0.35, 0.6, 0.6499999999999999]"
arshile-gorky_how-my-mother-s-embroidered-apron-unfolds-in-my-life.jpg,excitement,"[0.44999999999999996, 0.55, 0.44999999999999996]"
arshile-gorky_one-year-the-milkweed.jpg,disgust,"[0.20000000000000004, 0.6333333333333333, 0.6333333333333334]"
arshile-gorky_soft-night.jpg,sadness,"[0.2, 0.5, 0.44999999999999996]"
arshile-gorky_the-leaf-of-the-artichoke-is-an-owl.jpg,anger,"[0.15000000000000002, 0.45, 0.6]"
arshile-gorky_the-liver-is-the-cock-s-comb.jpg,disgust,"[0.35, 0.6499999999999999, 0.44999999999999996]"
arshile-gorky_untitled-1948.jpg,excitement,"[0.4666666666666666, 0.4000000000000001, 0.3]"
arshile-gorky_water-of-the-flowery-mill.jpg,fear,"[0.16666666666666666, 0.7666666666666666, 0.43333333333333335]"
arshile-gorky_waterfall.jpg,amusement,"[0.55, 0.35, 0.30000000000000004]"
arthur-pinajian_untitled-1960.jpg,anger,"[0.4, 0.3, 0.25]"
arthur-pinajian_untitled-landscape-bellport-no-0001-1985.jpg,contentment,"[0.6499999999999999, 0.44999999999999996, 0.3]"
arthur-pinajian_untitled-landscape-bellport-no-1042-1991.jpg,contentment,"[0.7, 0.5, 0.39999999999999997]"
arthur-pinajian_untitled-landscape-bellport-no-1137-1984.jpg,awe,"[0.5, 0.55, 0.35]"
arthur-pinajian_untitled-landscape-bellport-no-1168-1984.jpg,amusement,"[0.6499999999999999, 0.4, 0.2]"
arthur-pinajian_untitled-landscape-bellport-no-224-1989.jpg,contentment,"[0.7, 0.4, 0.30000000000000004]"
arthur-pinajian_untitled-landscape-bellport-no-243-1984.jpg,contentment,"[0.6, 0.44999999999999996, 0.55]"
arthur-pinajian_untitled-landscape-bellport-no-256-1990.jpg,excitement,"[0.55, 0.4, 0.44999999999999996]"
arthur-pinajian_untitled-landscape-bellport-no-257-1987.jpg,amusement,"[0.7, 0.2, 0.25]"
arthur-pinajian_untitled-landscape-bellport-no-347-1982.jpg,amusement,"[0.7, 0.6499999999999999, 0.6]"
arthur-pinajian_untitled-landscape-bellport-no-732-1992.jpg,amusement,"[0.7, 0.3, 0.25]"
arthur-pinajian_untitled-landscape-bellport-no-942-1984.jpg,contentment,"[0.6, 0.35, 0.2]"
arthur-pinajian_untitled-landscape-woodstock-no-3876-1960.jpg,fear,"[0.25, 0.8, 0.8500000000000001]"
arthur-pinajian_untitled-landscape-woodstock-no-414-1964.jpg,fear,"[0.1, 0.7, 0.55]"
arthur-pinajian_untitled-landscape-woodstock-no-42-1970.jpg,disgust,"[0.2, 0.3, 0.2]"
arthur-pinajian_untitled-landscape-woodstock-no-4398-1962.jpg,fear,"[0.4, 0.7, 0.7]"
arthur-pinajian_untitled-landscape-woodstock-no-d153-1962.jpg,fear,"[0.2, 0.3, 0.5]"
atsuko-tanaka_1980-d4-1980.jpg,anger,"[0.3, 0.6, 0.5]"
atsuko-tanaka_77r-84-1984.jpg,excitement,"[0.25, 0.5, 0.39999999999999997]"
atsuko-tanaka_89a-1989.jpg,sadness,"[0.2, 0.4, 0.3]"
atsuko-tanaka_89m-1989.jpg,sadness,"[0.15000000000000002, 0.5, 0.35]"
atsuko-tanaka_93e-1993.jpg,anger,"[0.2, 0.55, 0.5]"
atsuko-tanaka_to-new-york-vancouver-2002.jpg,anger,"[0.1, 0.5, 0.4]"
atsuko-tanaka_untitled-1.jpg,amusement,"[0.3, 0.2, 0.1]"
atsuko-tanaka_untitled-1961.jpg,fear,"[0.1, 0.2, 0.15000000000000002]"
atsuko-tanaka_untitled-1963.jpg,excitement,"[0.6499999999999999, 0.35, 0.30000000000000004]"
atsuko-tanaka_untitled-1964.jpg,anger,"[0.15000000000000002, 0.65, 0.55]"
atsuko-tanaka_untitled-1976.jpg,fear,"[0.15000000000000002, 0.45, 0.4]"
atsuko-tanaka_untitled-1984.jpg,disgust,"[0.15000000000000002, 0.4, 0.35]"
atsuko-tanaka_untitled-1999.jpg,amusement,"[0.675, 0.475, 0.1]"
atsuko-tanaka_untitled-painted-with-akira-kanayama-1993.jpg,fear,"[0.3, 0.3, 0.2]"
atsuko-tanaka_untitled.jpg,excitement,"[0.7, 0.55, 0.2]"
atsuko-tanaka_work-1992.jpg,fear,"[0.1, 0.44999999999999996, 0.35]"
audrey-flack_abstract-expressionist-autumn-sky-1953.jpg,excitement,"[0.25, 0.45, 0.6]"
audrey-flack_abstract-force-homage-to-franz-kline-1952.jpg,excitement,"[0.44999999999999996, 0.45, 0.3]"
audrey-flack_abstract-landscape-1950.jpg,contentment,"[0.5, 0.3333333333333333, 0.2333333333333333]"
audrey-flack_landscape-with-sky-1951.jpg,excitement,"[0.44999999999999996, 0.44999999999999996, 0.35]"
audrey-flack_still-life-with-grapefruits-1954.jpg,amusement,"[0.6, 0.3, 0.2]"
barnett-newman_abstract-composition-in-green-and-red.jpg,sadness,"[0.3, 0.25, 0.1]"
barnett-newman_the-blessing-1944.jpg,sadness,"[0.2, 0.2, 0.15000000000000002]"
barnett-newman_untitled-1945-1.jpg,disgust,"[0.3, 0.25, 0.35]"
barnett-newman_untitled-1945.jpg,awe,"[0.35, 0.25, 0.2]"
barnett-newman_untitled-1946.jpg,disgust,"[0.1, 0.1, 0.3]"
barnett-newman_untitled-red-yellow-and-green-forms-on-a-purple-ground.jpg,sadness,"[0.3333333333333333, 0.2333333333333333, 0.13333333333333333]"
basil-beattie_cause-and-effect-iv-1973.jpg,excitement,"[0.5, 0.44999999999999996, 0.35]"
basil-beattie_cause-and-effect-v-1973.jpg,disgust,"[0.25, 0.75, 0.5]"
basil-beattie_circus-1984.jpg,sadness,"[0.25, 0.44999999999999996, 0.39999999999999997]"
basil-beattie_city-1986.jpg,excitement,"[0.5, 0.6, 0.5]"
basil-beattie_imagine-if-1993.jpg,sadness,"[0.3, 0.2, 0.1]"
basil-beattie_jarrow-wine-1985.jpg,excitement,"[0.5, 0.6, 0.5]"
basil-beattie_loose-ends-1998.jpg,sadness,"[0.3, 0.26666666666666666, 0.13333333333333333]"
basil-beattie_never-before-2001.jpg,awe,"[0.325, 0.2, 0.2]"
basil-beattie_picture-1974.jpg,disgust,"[0.05, 0.65, 0.55]"
basil-beattie_present-bound-1990.jpg,sadness,"[0.55, 0.2, 0.1]"
basil-beattie_the-difference-between-ii-2005.jpg,sadness,"[0.35, 0.25, 0.15000000000000002]"
basil-beattie_untitled-drawing-2000-1.jpg,sadness,"[0.4, 0.2, 0.2]"
basil-beattie_untitled-drawing-2000.jpg,sadness,"[0.45, 0.2, 0.15000000000000002]"
basil-beattie_untitled-drawing-2002-1.jpg,fear,"[0.125, 0.25, 0.15000000000000002]"
basil-beattie_untitled-drawing-2002-2.jpg,fear,"[0.175, 0.35, 0.3]"
basil-beattie_untitled-drawing-2002.jpg,sadness,"[0.25, 0.23333333333333336, 0.16666666666666666]"
basil-beattie_witness-v-1992.jpg,sadness,"[0.2, 0.25, 0.3]"
basuki-abdullah_abstract-1.jpg,amusement,"[0.6499999999999999, 0.4, 0.25]"
basuki-abdullah_abstract.jpg,sadness,"[0.15, 0.6499999999999999, 0.6499999999999999]"
betty-parsons_aspen-colorado-1967.jpg,amusement,"[0.75, 0.25, 0.2]"
betty-parsons_bright-day-1966.jpg,contentment,"[0.55, 0.30000000000000004, 0.25]"
betty-parsons_eye-of-the-cross-1976.jpg,contentment,"[0.7333333333333334, 0.4666666666666666, 0.5]"
betty-parsons_garden-in-saint-denis-1980.jpg,anger,"[0.25, 0.6499999999999999, 0.55]"
betty-parsons_going-up-1978.jpg,contentment,"[0.55, 0.6, 0.5]"
betty-parsons_gold-stopple-moonshot-1972.jpg,excitement,"[0.75, 0.75, 0.65]"
betty-parsons_indian-writhing-1977.jpg,contentment,"[0.6, 0.4, 0.4]"
betty-parsons_ladder-1968.jpg,contentment,"[0.8500000000000001, 0.6, 0.55]"
betty-parsons_moonlight-maine.jpg,sadness,"[0.1, 0.6, 0.4]"
betty-parsons_st-martin-s-eye-of-the-road-1976.jpg,contentment,"[0.6499999999999999, 0.45, 0.65]"
betty-parsons_summer-snow-1978.jpg,sadness,"[0.30000000000000004, 0.5, 0.35]"
betty-parsons_target-1981.jpg,awe,"[0.4, 0.39999999999999997, 0.39999999999999997]"
betty-parsons_the-moth-1969.jpg,awe,"[0.4666666666666666, 0.3333333333333333, 0.5666666666666667]"
betty-parsons_the-tower-1969.jpg,fear,"[0.35, 0.3, 0.3]"
betty-parsons_totem-materia-r-1980.jpg,contentment,"[0.8, 0.3, 0.2]"
betty-parsons_totem-materia.jpg,awe,"[0.35, 0.35, 0.2]"
betty-parsons_untitled(1).jpg,awe,"[0.45, 0.6, 0.55]"
betty-parsons_untitled(2).jpg,contentment,"[0.6, 0.4, 0.4]"
betty-parsons_untitled-1950.jpg,contentment,"[0.55, 0.45, 0.35]"
betty-parsons_untitled-1953.jpg,disgust,"[0.3, 0.2, 0.1]"
betty-parsons_untitled-1970.jpg,contentment,"[0.8, 0.6, 0.5]"
betty-parsons_untitled-1971.jpg,amusement,"[0.7, 0.25, 0.15000000000000002]"
betty-parsons_untitled-1978.jpg,amusement,"[0.4, 0.30000000000000004, 0.35]"
betty-parsons_untitled-3.jpg,sadness,"[0.3, 0.6, 0.3]"
betty-parsons_untitled-abstraction(1).jpg,disgust,"[0.05, 0.75, 0.5]"
betty-parsons_untitled-abstraction(2).jpg,contentment,"[0.55, 0.25, 0.25]"
betty-parsons_untitled-abstraction(3).jpg,excitement,"[0.5666666666666667, 0.5666666666666667, 0.4666666666666666]"
betty-parsons_untitled-abstraction(4).jpg,fear,"[0.3, 0.5, 0.44999999999999996]"
betty-parsons_untitled-abstraction(5).jpg,disgust,"[0.15000000000000002, 0.6, 0.35]"
betty-parsons_untitled-abstraction(6).jpg,contentment,"[0.8000000000000002, 0.4666666666666666, 0.5]"
betty-parsons_untitled-abstraction.jpg,disgust,"[0.15000000000000002, 0.8, 0.65]"
betty-parsons_untitled.jpg,amusement,"[0.9, 0.7, 0.6499999999999999]"
betty-parsons_yield-1975.jpg,amusement,"[0.6, 0.35, 0.44999999999999996]"
blinky-palermo_blau-auf-gr-n-1965.jpg,sadness,"[0.2, 0.30000000000000004, 0.3]"
blinky-palermo_coney-island-ii-1975.jpg,contentment,"[0.7333333333333334, 0.6666666666666666, 0.5666666666666668]"
blinky-palermo_fensterkreuz-ii-1966.jpg,contentment,"[0.8, 0.5, 0.1]"
blinky-palermo_komposition-blau-rot-auf-weiss-1965.jpg,sadness,"[0.15000000000000002, 0.55, 0.35]"
blinky-palermo_komposition-mit-8-roten-rechtecken-composition-with-8-red-rectangles-1964.jpg,contentment,"[0.6333333333333333, 0.26666666666666666, 0.23333333333333336]"
blinky-palermo_ohne-titel-1964(1).jpg,fear,"[0.4, 0.4, 0.5]"
blinky-palermo_ohne-titel-1964.jpg,fear,"[0.175, 0.6499999999999999, 0.7]"
blinky-palermo_ohne-titel-1977(1).jpg,contentment,"[0.7, 0.55, 0.55]"
blinky-palermo_ohne-titel-1977.jpg,contentment,"[0.7333333333333334, 0.3, 0.3]"
blinky-palermo_ohne-titel-f-r-peter-dibke-1970.jpg,sadness,"[0.35, 0.55, 0.44999999999999996]"
blinky-palermo_ohne-titel-f-r-thordes-1976.jpg,contentment,"[0.75, 0.39999999999999997, 0.44999999999999996]"
blinky-palermo_ohne-titel-mit-rotem-strich-1970.jpg,awe,"[0.45, 0.4, 0.3]"
blinky-palermo_tablettenbild-1966.jpg,disgust,"[0.25, 0.44999999999999996, 0.25]"
blinky-palermo_who-knows-the-beginning-and-who-knows-the-end-i-1976.jpg,fear,"[0.22499999999999998, 0.6, 0.475]"
blinky-palermo_who-knows-the-beginning-and-who-knows-the-end-ii-1976.jpg,disgust,"[0.275, 0.5, 0.39999999999999997]"
bradley-walker-tomlin_all-souls-night-1947.jpg,fear,"[0.1, 0.8500000000000001, 0.5]"
bradley-walker-tomlin_green-1948.jpg,disgust,"[0.35, 0.3, 0.275]"
bradley-walker-tomlin_maneuver-for-position-1947.jpg,fear,"[0.2833333333333334, 0.65, 0.4000000000000001]"
bradley-walker-tomlin_no-5-1952.jpg,sadness,"[0.18333333333333335, 0.4000000000000001, 0.25]"
bradley-walker-tomlin_number-1-1952.jpg,sadness,"[0.15000000000000002, 0.375, 0.15000000000000002]"
bradley-walker-tomlin_number-12-1949.jpg,contentment,"[0.7, 0.3, 0.275]"
bradley-walker-tomlin_number-13-1949.jpg,contentment,"[0.6666666666666666, 0.5666666666666668, 0.44999999999999996]"
bradley-walker-tomlin_number-13-1952.jpg,sadness,"[0.3, 0.35, 0.2]"
bradley-walker-tomlin_number-14-1949.jpg,sadness,"[0.35, 0.2, 0.15000000000000002]"
bradley-walker-tomlin_number-15-1953.jpg,excitement,"[0.6, 0.825, 0.7]"
bradley-walker-tomlin_number-2-1950.jpg,awe,"[0.6499999999999999, 0.25, 0.2]"
bradley-walker-tomlin_number-20-1949-1.jpg,contentment,"[0.8, 0.45, 0.5]"
bradley-walker-tomlin_number-20-1949.jpg,contentment,"[0.75, 0.39999999999999997, 0.42500000000000004]"
bradley-walker-tomlin_number-3-1948.jpg,fear,"[0.1, 0.8500000000000001, 0.55]"
bradley-walker-tomlin_number-3-1950.jpg,awe,"[0.4, 0.1, 0.1]"
bradley-walker-tomlin_number-7-1953.jpg,contentment,"[0.6999999999999998, 0.3, 0.3]"
bradley-walker-tomlin_number-9-in-praise-of-gertrude-stein-1950-1.jpg,contentment,"[0.6666666666666666, 0.39999999999999997, 0.4833333333333334]"
bradley-walker-tomlin_number-9-in-praise-of-gertrude-stein-1950.jpg,amusement,"[0.5666666666666667, 0.6166666666666667, 0.5666666666666668]"
bradley-walker-tomlin_shapes-1950.jpg,contentment,"[0.43333333333333335, 0.3666666666666667, 0.25]"
bradley-walker-tomlin_untitled-1952.jpg,contentment,"[0.47500000000000003, 0.45, 0.55]"
brett-whiteley_alchemy-1973.jpg,awe,"[0.675, 0.675, 0.6499999999999999]"
brett-whiteley_american-dream-1969.jpg,disgust,"[0.3, 0.44999999999999996, 0.39999999999999997]"
brett-whiteley_bathers-1963.jpg,sadness,"[0.30000000000000004, 0.25, 0.15000000000000002]"
brett-whiteley_listening-to-nature-1964.jpg,awe,"[0.6499999999999999, 0.5, 0.3]"
brett-whiteley_nude-at-basin-1963.jpg,sadness,"[0.35, 0.325, 0.22499999999999998]"
brett-whiteley_untitled-red-painting-1960.jpg,fear,"[0.4, 0.35, 0.35]"
brett-whiteley_untitled-warm-painting-1961.jpg,contentment,"[0.6, 0.4, 0.6]"
brice-marden_10-2011.jpg,sadness,"[0.22499999999999998, 0.4, 0.6]"
brice-marden_6-red-rock-1-2002.jpg,amusement,"[0.6833333333333332, 0.5333333333333333, 0.4166666666666667]"
brice-marden_after-botticelli-3-1994.jpg,sadness,"[0.11666666666666665, 0.6, 0.4333333333333333]"
brice-marden_aphrodite-study-1993.jpg,fear,"[0.125, 0.7250000000000001, 0.6]"
brice-marden_attendant-5-1999.jpg,amusement,"[0.75, 0.5333333333333333, 0.4666666666666666]"
brice-marden_beyond-eagles-mere-2.jpg,anger,"[0.25, 0.475, 0.35]"
brice-marden_bridge-study-1991.jpg,disgust,"[0.125, 0.65, 0.5]"
brice-marden_cold-mountain-i-path-1989.jpg,sadness,"[0.1, 0.5, 0.45]"
brice-marden_cold-mountain-series-zen-study-6-1991.jpg,sadness,"[0.2, 0.6000000000000001, 0.39999999999999997]"
brice-marden_couplet-iii-1989.jpg,sadness,"[0.3, 0.3333333333333333, 0.39999999999999997]"
brice-marden_cyprian-evocation.jpg,disgust,"[0.30000000000000004, 0.625, 0.2]"
brice-marden_distant-muses-2000.jpg,contentment,"[0.5833333333333334, 0.18333333333333335, 0.21666666666666667]"
brice-marden_don-t-bungle-the-jungle-1989.jpg,sadness,"[0.1, 0.6499999999999999, 0.4]"
brice-marden_dragons-2004.jpg,anger,"[0.15000000000000002, 0.9, 0.725]"
brice-marden_eagles-mere-set-5-1997.jpg,sadness,"[0.15000000000000002, 0.275, 0.25]"
brice-marden_epitaph-painting-5-2001.jpg,contentment,"[0.44999999999999996, 0.275, 0.15000000000000002]"
brice-marden_etchings-to-rexroth-1-1986.jpg,sadness,"[0.35, 0.2, 0.15000000000000002]"
brice-marden_first-letter-2009.jpg,sadness,"[0.175, 0.35, 0.25]"
brice-marden_forgery-2008.jpg,contentment,"[0.725, 0.8, 0.625]"
brice-marden_greece-summer-1974-1.jpg,contentment,"[0.6, 0.15000000000000002, 0.2]"
brice-marden_greece-summer-1974-2.jpg,contentment,"[0.6, 0.3, 0.175]"
brice-marden_han-shan-exit-1992.jpg,anger,"[0.1, 0.7, 0.5]"
brice-marden_joined-2011.jpg,contentment,"[0.65, 0.25, 0.30000000000000004]"
brice-marden_letter-about-rocks-3-blue-ground-2010.jpg,contentment,"[0.5499999999999999, 0.3499999999999999, 0.16666666666666666]"
brice-marden_letter-with-red-2009.jpg,anger,"[0.22499999999999998, 0.825, 0.6]"
brice-marden_long-letter-1-2009.jpg,disgust,"[0.375, 0.35, 0.325]"
brice-marden_mirabelle-addenda-2-1979.jpg,sadness,"[0.35, 0.2, 0.15000000000000002]"
brice-marden_muses-and-meres-series-richard-s-muse-2001.jpg,sadness,"[0.225, 0.30000000000000004, 0.25]"
brice-marden_nevis-rock-2008.jpg,sadness,"[0.25, 0.35, 0.15000000000000002]"
brice-marden_nevisian-triptych-2008.jpg,anger,"[0.15000000000000002, 0.9, 0.7]"
brice-marden_polke-letter-2011.jpg,sadness,"[0.15000000000000002, 0.375, 0.2]"
brice-marden_post-calligraphic-drawing-1998.jpg,sadness,"[0.20000000000000004, 0.45, 0.16666666666666666]"
brice-marden_red-ground-letter-2010.jpg,sadness,"[0.30000000000000004, 0.275, 0.25]"
brice-marden_red-window-study.jpg,fear,"[0.2, 0.55, 0.2]"
brice-marden_second-letter-zen-spring-2009.jpg,contentment,"[0.6, 0.35, 0.30000000000000004]"
brice-marden_st-barts-1-1991.jpg,amusement,"[0.6499999999999999, 0.5, 0.35]"
brice-marden_st-barts-10-1991.jpg,anger,"[0.15000000000000002, 0.75, 0.6]"
brice-marden_study-for-the-virgins-1990.jpg,amusement,"[0.5, 0.2, 0.1]"
brice-marden_suicide-note-1973.jpg,sadness,"[0.30000000000000004, 0.30000000000000004, 0.35]"
brice-marden_suicide-notes-1972.jpg,sadness,"[0.35, 0.25, 0.2]"
brice-marden_summer-scroll-8-five-kinds-of-hydra-trees-1986.jpg,anger,"[0.2, 0.8, 0.6499999999999999]"
brice-marden_the-attended-1999.jpg,contentment,"[0.65, 0.15000000000000002, 0.15000000000000002]"
brice-marden_the-propitious-garden-of-plane-image-version-one-2005.jpg,amusement,"[0.6, 0.6000000000000001, 0.35]"
brice-marden_the-studio-1990.jpg,sadness,"[0.125, 0.35, 0.275]"
brice-marden_third-letter-2009.jpg,amusement,"[0.475, 0.42500000000000004, 0.3]"
